Code,Population,Name,pro
45111A,152536,완산구,5.591001469
45180,54410,정읍시,15.6741224
45190,39772,남원시,21.44294981
45210,42835,김제시,19.90962998
45710,44397,완주군,19.20915828
45720,13597,진안군,62.72185041
45730,12954,무주군,65.83518604
45740,11614,장수군,73.43111762
45750,15048,임실군,56.67391015
45770,14058,순창군,60.66503059
45790,28771,고창군,29.64196587
45800,27731,부안군,30.75363312
45140,130352,익산시,6.542507978
45130,122683,군산시,6.951484721
45113,142071,덕진구,6.00283661
