학교명,주소,위도,경도
전주곤지중학교,전라북도 전주시 완산구 매곡로 22,35.81056438,127.143278
원광중학교,전라북도 익산시 무왕로31길 154,35.97389316,127.0013592
전주온빛중학교,전라북도 전주시 덕진구 틀못4길 10,35.84350884,127.058398
전주우아중학교,전라북도 전주시 덕진구 호성로 6,35.85413557,127.1536003
이리중학교,전라북도 익산시 학곤로 19,35.93424298,126.9418576
운암중학교,전라북도 임실군 운암면 상운길 12,35.66390758,127.1564253
줄포중학교,전라북도 부안군 줄포면 부안로 938,35.59248737,126.676313
전주효정중학교,전라북도 전주시 완산구 안행로 127,35.8067646,127.1336242
쌍치중학교,전라북도 순창군 쌍치면 쌍계로 30-5,35.49956589,127.0015481
심원중학교,전라북도 고창군 심원면 심원로 158-11,35.52028349,126.5485883
순창북중학교,전라북도 순창군 순창읍 옥천로 67-13,35.3790983,127.1389666
백산중학교,전라북도 부안군 백산면 백산로 379,35.70808449,126.7910026
이리북중학교,전라북도 익산시 익산대로 415-14,35.96370252,126.9514716
군산자양중학교,전라북도 군산시 옥구읍 우치산3길 40,35.92590431,126.6776642
구이중학교,전라북도 완주군 구이면 구이로 1505,35.73412592,127.1183738
전주양현중학교,전라북도 전주시 덕진구 만성북4길 10,35.84776125,127.0749816
해리중학교,전라북도 고창군 해리면 해리중앙로 120,35.46277932,126.539783
동향중학교,전라북도 진안군 동향면 창촌길 41,35.83550868,127.5723506
성내중학교,전라북도 고창군 성내면 선운대로 4223-11,35.54309223,126.7444702
덕암중학교,전라북도 김제시 하공로 9,35.81309241,126.8870829
익산중학교,전라북도 익산시 금마면 고도길 85,35.99491837,127.0554793
선유도중학교,전라북도 군산시 옥도면 선유북길 89-1,35.8118584,126.4124056
부안여자중학교,전라북도 부안군 부안읍 교동1길 42,35.71380194,126.7346339
군산금강중학교,전라북도 군산시 황룡2길 61,35.94097554,126.6882519
수지중학교,전라북도 남원시 수지면 고주로 531-9,35.334723,127.3638549
산외중학교,전라북도 정읍시 산외면 평사3길 25,35.61870768,127.0448971
아산중학교,전라북도 고창군 아산면 목동로 336,35.43874982,126.6320729
입암중학교,전라북도 정읍시 입암면 입고로 32-13,35.51610661,126.7945601
학산중학교,전라북도 정읍시 학산로 89,35.56034415,126.8753952
소양중학교,전라북도 완주군 소양면 소양로 223,35.85655921,127.2324813
이리동중학교,전라북도 익산시 동천로7길 44,35.93247393,126.9694299
번암중학교,전라북도 장수군 번암면 지지로 28-12,35.53566532,127.5482984
하서중학교,전라북도 부안군 하서면 변산로 852,35.71414156,126.6376014
