고유번호,구명,정원수,위도,경도
116,전주시 완산구,56,35.81043018,127.0993336
117,전주시 완산구,37,35.79416949,127.118182
118,전주시 완산구,250,35.79165061,127.118027
119,전주시 완산구,45,37.20364032,127.5464217
120,전주시 완산구,69,35.83266095,127.0940491
121,전주시 완산구,80,35.79199103,127.1348915
122,전주시 완산구,33,35.80694099,127.1530423
123,전주시 완산구,43,35.79009018,127.1202794
124,전주시 완산구,53,35.83431132,127.0960053
125,전주시 완산구,99,35.80341666,127.0872396
126,전주시 완산구,30,35.79329229,127.1396979
127,전주시 완산구,47,35.81024102,127.1017938
128,전주시 완산구,99,35.80382675,127.1012507
129,전주시 완산구,41,35.79912396,127.1249104
130,전주시 완산구,25,35.81439897,127.1073162
131,전주시 완산구,25,35.81024885,127.131199
132,전주시 완산구,28,35.79333984,127.1411975
133,전주시 완산구,30,35.81410443,127.108626
134,전주시 완산구,53,35.81835354,127.1113605
135,전주시 완산구,21,35.80672988,127.1202424
136,전주시 완산구,29,35.81641036,127.1115189
137,전주시 완산구,16,35.83177947,127.0966134
138,전주시 완산구,13,37.47594397,126.8567405
139,전주시 완산구,20,35.83527881,127.1169762
140,전주시 완산구,20,35.79622021,127.1380755
141,전주시 완산구,19,35.80410034,127.1146346
142,전주시 완산구,20,35.79572647,127.1152545
143,전주시 완산구,19,35.79768781,127.1243781
144,전주시 완산구,19,35.80106667,127.1159683
145,전주시 완산구,19,35.79083253,127.1202094
146,전주시 완산구,13,37.47594397,126.8567405
147,전주시 완산구,19,37.49978543,126.9427333
148,전주시 완산구,20,35.80410034,127.1146346
149,전주시 완산구,16,35.83533777,127.1123274
150,전주시 완산구,20,35.83025964,127.0984415
151,전주시 완산구,13,35.83521408,127.1142806
152,전주시 완산구,20,35.78203212,127.1343488
153,전주시 완산구,19,37.70248423,127.0477945
154,전주시 완산구,16,37.47594397,126.8567405
155,전주시 완산구,18,37.47087797,126.931769
156,전주시 완산구,19,35.78510901,127.1391306
157,전주시 완산구,17,37.31437232,126.8158677
158,전주시 완산구,20,35.81177985,127.1238644
159,전주시 완산구,20,35.82593818,127.158897
160,전주시 완산구,19,37.31437232,126.8158677
161,전주시 완산구,19,37.49978543,126.9427333
162,전주시 완산구,13,35.83348323,127.1071126
