,도로명,위도,경도
28,전라북도 정읍시 남산5길 19-9,35.5594772050621,126.847415737746
29,전라북도 정읍시 천변로 350-1,35.5565383756512,126.864737747443
30,전라북도 정읍시 조곡천1길 59-0,35.5672863255938,126.851312189279
31,전라북도 정읍시 수성택지3길 19-0,35.5782109972578,126.856485430713
32,전라북도 정읍시 수성3로 7-0,35.5848425525623,126.855055698048
33,전라북도 정읍시 명덕1길 42-0,35.5791447782802,126.850292155241
34,전라북도 정읍시 수성3로 8-0,35.5846797012923,126.85476680697
35,전라북도 정읍시 우암로 45-0,35.5666318357973,126.855866288787
36,전라북도 정읍시 수성3로 39-1,35.5831666044884,126.857635843553
37,전라북도 정읍시 수성로 19-0,35.5801158019257,126.853344983057
38,전라북도 정읍시 정읍남로 500-0,35.5046847033815,126.794015019096
39,전라북도 정읍시 정읍남로 522-0,35.5067000925172,126.794425207237
40,전라북도 정읍시 상동중앙로 62-3,35.5620906374037,126.869303554795
41,전라북도 정읍시 학산로 97-0,35.5596131781182,126.87355906457
42,전라북도 정읍시 상동중앙로 69-0,35.5627657577467,126.869347462556
43,X,-32.0967361,-63.7940923
44,전라북도 정읍시 학산로 92-0,35.5602789550978,126.873632912772
45,전라북도 정읍시 상동중앙로 26-0,35.5591257057211,126.867224385393
46,전라북도 정읍시 하신경10길 2-9,35.5621674244396,126.872158287942
47,전라북도 정읍시 학산로 100-1,35.5596540961505,126.873129163587
48,전라북도 정읍시 충정로 181-0,35.5665885170949,126.860414180404
49,전라북도 정읍시 충정로 344-2,35.5758735213714,126.847700169024
50,전라북도 정읍시 연지7길 38-0,35.5716728328909,126.842843412821
51,전라북도 정읍시 중앙로 70-0,35.5703530527753,126.848108740615
52,전라북도 정읍시 연지6길 19-15,35.5727474990036,126.843366424259
53,전라북도 정읍시 중앙로 57-14,35.5713966427356,126.847805389055
54,전라북도 정읍시 태산로 1638-0,35.5709063642878,127.022163476197
55,전라북도 정읍시 서부산업도로 399-14,35.5827979735058,126.849763600647
56,전라북도 정읍시 칠보중앙로 118-1,35.6059125694433,126.989688460694
57,전라북도 정읍시 칠보중앙로 78-1,35.60319673586,126.992591366361
58,전라북도 정읍시 칠북로 448-0,35.60475526855,126.93034688213
59,전라북도 정읍시 정읍북로 631-26,35.6137171040697,126.890187957022
60,전라북도 정읍시 교동3길 5-0,35.6201899025766,126.771682192364
61,전라북도 정읍시 황토현로 818-0,35.6210958508243,126.843511511096
62,전라북도 정읍시 산외로 431-1,35.6212125458998,127.038940474306
63,전라북도 정읍시 영원로 1090-0,35.6558595015307,126.785630784054
64,전라북도 정읍시 옹지동촌로 216-0,35.6438162206988,126.974877380066
65,전라북도 정읍시 황토현로 297-0,35.6643575801131,126.838246690363
66,전라북도 정읍시 시장2길 24-14,35.6864283885143,126.888089158838
67,전라북도 정읍시 신태인1길 57-0,35.6865377762814,126.888059399088
68,전라북도 전주시 덕진구 모래내5길 10-0,35.8335860938165,127.144534589366
69,전라북도 전주시 덕진구 거북바우로 143-0,35.8432614326283,127.151142219538
70,전라북도 전주시 덕진구 명주3길 15-0,35.8438315190674,127.148068071327
71,전라북도 전주시 덕진구 심방죽로 57-0,35.8409721912614,127.151539561545
72,전라북도 전주시 덕진구 인교6길 15-0,35.8254133299433,127.171268813779
73,전라북도 전주시 덕진구 숲정이로 41-1,35.8323564949934,127.132339236933
74,전라북도 전주시 덕진구 팔달로 356-0,35.832278072487,127.138118134459
75,전라북도 전주시 덕진구 팔달로 339-0,35.8308198305022,127.138671298536
76,전라북도 전주시 덕진구 숲정이5길 75-0,35.8337639790399,127.128107053311
77,전라북도 전주시 덕진구 태진로 91-0,35.8291079143234,127.136047519907
78,전라북도 전주시 덕진구 중상보로 30-0,35.8330449472156,127.170802109934
