,학교명,주소,위도,경도
88,,전라북도 전주시 덕진구 가리내로 42-13,35.83453646,127.1305242
89,,전라북도 전주시 덕진구 송천중앙로 100  -3,35.85596874,127.1209215
90,,전라북도 전주시 덕진구 덕진동2가 하가2길 29-39,35.84639679,127.1156842
91,,전라북도 전주시 덕진구 백제대로 567,35.8411407,127.1315899
92,,전라북도 전주시 덕진구 진북1길 26,35.82730713,127.1328834
93,,전라북도 전주시 덕진구 매봉로 23,35.84001967,127.1410883
94,,전라북도 전주시 덕진구 상리5길 8-5,35.85139346,127.1009799
95,,전라북도 전주시 덕진구 송천중앙로 165,35.86163072,127.1208931
96,,전라북도 전주시 덕진구 오공로 71,35.83805553,127.062305
97,,전라북도 전주시 덕진구 무삼지5길 18,35.82739041,127.1636449
98,,전라북도 전주시 덕진구 인후동1가 한배미6길 26,35.82227522,127.1679561
99,,전라북도 전주시 덕진구 원고랑2길 16,35.8742392,127.0845942
100,,전라북도 전주시 덕진구 송천동1가 솔내로 144,35.86283431,127.1270365
101,,전라북도 전주시 덕진구 원산정길 22,35.84293706,127.1721222
102,,전라북도 전주시 덕진구 견훤로 350,35.84256405,127.1546094
103,,전라북도 전주시 덕진구 오송1길 13-5,35.86351741,127.1280246
104,,전라북도 전주시 덕진구 숲정이2길 14,35.82967892,127.130802
105,,전라북도 전주시 덕진구 솔내로 124,35.86127244,127.1277148
106,,전라북도 전주시 덕진구 팔복동2가 추천4길 44,35.85053933,127.1059073
107,,전라북도 전주시 덕진구 오송1길 17,35.86320662,127.1286472
108,,전라북도 전주시 덕진구 소리로 179,35.85803894,127.1500749
109,,전라북도 전주시 덕진구 가재미로 23,35.82717977,127.1628614
110,,전라북도 전주시 덕진구 송천동2가 사근1길 11-6,35.86704037,127.1287305
111,,전라북도 전주시 덕진구 무삼지1길 14-3,35.82536401,127.1619225
112,,전라북도 전주시 덕진구 한배미3길 8,35.82530633,127.1659514
113,,전라북도 전주시 덕진구 인후동1가 무삼지5길 6-3,35.82771785,127.1644943
114,,전라북도 전주시 덕진구 호성로 40,35.85560749,127.1522597
115,,전라북도 전주시 덕진구 원고랑1길 13,35.87354945,127.0858967
116,,전라북도 전주시 덕진구 무삼지6길 8,35.82822219,127.1640304
117,,전라북도 전주시 덕진구 쪽구름1길 24,35.87278566,127.078343
118,,전라북도 전주시 덕진구 원산정길 18,35.84244963,127.1718914
119,,전라북도 전주시 덕진구 와룡로 3,35.86017804,127.111715
120,,전라북도 전주시 덕진구 견훤왕궁로 246-3,35.84028419,127.1462137
121,,전라북도 전주시 덕진구 모래내5길 52,35.83707674,127.1434186
122,,전라북도 전주시 덕진구 초포로 250-15,35.87294559,127.1485422
123,,전라북도 전주시 덕진구 인후동1가 석소로 77,35.83363228,127.1651422
124,,전라북도 전주시 덕진구 화정길 41,35.87251773,127.142548
125,,전라북도 전주시 덕진구 도당산로 48-5,35.84565766,127.1586467
126,,전라북도 전주시 덕진구 와룡2길 5,35.86606542,127.1134098
127,,전라북도 전주시 덕진구 우아동3가 도당산4길 53-12,35.84540711,127.1557548
128,,전라북도 전주시 덕진구 배미실마을길 18,35.86431071,127.1587415
129,,전라북도 전주시 덕진구 무삼지5길 10,35.82757705,127.1643754
130,,전라북도 전주시 덕진구 팽나무4길 26,35.83417217,127.154403
131,,전라북도 전주시 덕진구 시천로 29-27,35.86025649,127.1133978
132,,전라북도 전주시 덕진구 초포로 228-9,35.87372145,127.1465096
133,,전라북도 전주시 덕진구 견훤왕궁로 251,35.84049763,127.1455234
134,,전라북도 전주시 덕진구 건산로 280,35.83550068,127.1676777
135,,전라북도 전주시 덕진구 아중1길 9-5,35.82895729,127.170484
