,학교명,주소,위도,경도
80,전주선화학교,완산구 효자로 39,35.82045067,127.0907897
81,전주풍남유치원,완산구 견훤왕궁로 16,35.82100253,127.1541845
82,전주유치원,완산구 대동로 33,35.82259291,127.1396496
83,전주홍산유치원,완산구 마전들로30,35.82069814,127.0987051
84,전주풍남유치원,완산구 견훤왕궁로 16,35.82100253,127.1541845
85,전주유치원,완산구 대동로 33,35.82259291,127.1396496
86,전주홍산유치원,완산구 마전들로30,35.82069814,127.0987051
87,서신어린이집,전라북도 전주시 완산구 감나무로 15,35.82915547,127.120266
88,휴먼시아맑은샘어린이집,전라북도 전주시 완산구 용호로 20,35.80768237,127.1016488
89,휴먼시아숲속어린이집,전라북도 전주시 완산구 호암로 2,35.80748439,127.0961354
90,휴먼시아해오름어린이집,전라북도 전주시 완산구 호암로 87,35.80923055,127.1035639
91,휴먼시아밝은빛어린이집,전라북도 전주시 완산구 호암로 88,35.807829,127.1027133
92,아기천사어린이집,전라북도 전주시 완산구 외칠봉1길 17,35.80293475,127.13717
93,바울어린이집,전라북도 전주시 완산구 용머리로 228,35.80840155,127.1353327
94,상원어린이집,전라북도 전주시 완산구 천잠로 545-7,35.8331357,127.0953507
95,중산어린이집,전라북도 전주시 완산구 서원로 334,35.81183501,127.1302554
96,명재어린이집,전라북도 전주시 완산구 삼천천변2길 36-3,35.79615507,127.1141678
97,올리브어린이집,전라북도 전주시 완산구 구이로 2041-1,35.78038033,127.1289512
98,전주삼성어린이집,전라북도 전주시 완산구 권삼득로 20,35.8247749,127.149868
99,남복원광어린이집,전라북도 전주시 완산구 평화6길 22,35.78856964,127.132795
100,롯데어린이집,전라북도 전주시 완산구 계룡산길 64,35.78864283,127.1050927
101,예촌어린이집,전라북도 전주시 완산구 메너머3길 25-15,35.82317749,127.1200191
102,상록어린이집,전라북도 전주시 완산구 우전로 251,35.81699345,127.1015843
103,에덴어린이집,전라북도 전주시 완산구 장승배기로 302-3,35.7995669,127.1450915
104,현대어린이집,전라북도 전주시 완산구 인정2길 12,35.8197989,127.1192435
105,학산어린이집,전라북도 전주시 완산구 평화동2가 모악로 4726-1,35.79110725,127.1321311
106,작은새두리어린이집,전라북도 전주시 완산구 평화14길 15-10,35.79219592,127.1340619
107,한마음어린이집,전라북도 전주시 완산구 계룡산길 44-6,35.79070168,127.1048901
108,신생어린이집,전라북도 전주시 완산구 난전들로 22-7,35.77876916,127.1267264
109,은성어린이집,전라북도 전주시 완산구 강당1길 18-21,35.81033192,127.133921
110,큐피트어린이집,전라북도 전주시 완산구 화산천변3길 12-3,35.82078269,127.1148262
111,꺼야마을어린이집,전라북도 전주시 완산구 중인1길 134-17,35.76823649,127.0943866
112,전주효자어린이집,전라북도 전주시 완산구 밤나무1길 15-7,35.80863629,127.1168022
113,큰별어린이집,전라북도 전주시 완산구 내원당길 70-15,35.79374231,127.1699859
114,효자제일어린이집,전라북도 전주시 완산구 신촌1길 44-3,35.81404324,127.1134943
115,완산어린이집,전라북도 전주시 완산구 전주천서로 181,35.81186057,127.1413805
116,우리어린이집,전라북도 전주시 완산구 덕적골2길 25,35.79561646,127.1418577
117,평화원광어린이집,전라북도 전주시 완산구 백제대로 20-15,35.79789963,127.1322093
118,새빛어린이집,전라북도 전주시 완산구 신봉로 4,35.81005578,127.1155906
119,광민어린이집,전라북도 전주시 완산구 중산1길 12-4,35.81473893,127.119266
120,교동원광어린이집,전라북도 전주시 완산구 오목대길 76,35.81319855,127.1519712
121,복지어린이집,전라북도 전주시 완산구 평화동1가 덕적골2길 22,35.79661683,127.1401966
