학교명,주소,위도,경도
남원국악예술고등학교,전라북도 남원시 용성로 323,35.42595135,127.4055554
남원여자고등학교,전라북도 남원시 광천북길 229-11,35.41117242,127.3704283
전주중앙여자고등학교,전라북도 전주시 덕진구 석소로 25,35.82828293,127.1678274
전주예술고등학교,전라북도 완주군 구이면 신전길 120,35.72023332,127.1087873
덕암정보고등학교,전라북도 김제시 하공로 9,35.81309241,126.8870829
전주신흥고등학교,전라북도 전주시 완산구 서원로 399,35.81541013,127.1362767
장수고등학교,전라북도 장수군 장수읍 장천로 254-16,35.65594323,127.5223725
만경여자고등학교,전라북도 김제시 만경읍 만경로 823,35.85368915,126.8147776
군산고등학교,전라북도 군산시 팔마로 177,35.97394441,126.7195894
부안여자고등학교,전라북도 부안군 부안읍 교동1길 54,35.71495546,126.7359295
김제여자고등학교,전라북도 김제시 중앙로 193,35.80038584,126.8958241
군산기계공업고등학교,전라북도 군산시 군중길 28,35.97728004,126.7003422
군산상업고등학교,전라북도 군산시 석치1길 17,35.97468767,126.7000666
완산여자고등학교,전라북도 전주시 완산구 덕적골1길 60,35.79203367,127.1383432
군산중앙여자고등학교,전라북도 군산시 축동2길 27,35.96817267,126.7114926
진안공업고등학교,전라북도 진안군 진안읍 상역로 96,35.80056579,127.4167038
완주고등학교,전라북도 완주군 봉동읍 봉동로 172,35.94076736,127.1662965
백화여자고등학교,전라북도 장수군 장계면 백화로 4-31,35.72778418,127.5861808
임실고등학교,전라북도 임실군 임실읍 봉황로 257,35.62192952,127.2867026
원광정보예술고등학교,전라북도 익산시 선화로13길 72,35.95432998,126.9434322
김제농생명마이스터고등학교,전라북도 김제시 남북9길 23,35.79232044,126.8904613
서영여자고등학교,전라북도 정읍시 명덕1길 66-10,35.57916708,126.8520797
양현고등학교,전라북도 전주시 덕진구 틀못2길 9,35.84218419,127.0587816
남원용성고등학교,전라북도 남원시 농고길 41,35.41795647,127.3929209
전북과학고등학교,전라북도 익산시 금마면 용순신기길 48-69,36.01457166,127.0347845
전주고등학교,전라북도 전주시 완산구 권삼득로 2,35.82470798,127.1525516
군산영광여자고등학교,전라북도 군산시 둔배미길 21,35.98267659,126.7148654
순창고등학교,전라북도 순창군 순창읍 옥천로 67-14,35.37990162,127.1405508
전주근영여자고등학교,전라북도 전주시 완산구 영경1길 11,35.82030227,127.1246416
남성고등학교,전라북도 익산시 동서로35길 41,35.95635944,126.9659967
학산고등학교,전라북도 정읍시 학산로 89,35.56034415,126.8753952
고창북고등학교,전라북도 고창군 흥덕면 선운대로 3714-32,35.51504641,126.6979364
호남고등학교,전라북도 정읍시 정읍남로 1364-13,35.55709637,126.8511513
익산고등학교,전라북도 익산시 금마면 고도길 85,35.99491837,127.0554797
성일고등학교,전라북도 익산시 황등면 화강암로 229,36.00845511,126.9466218
호남제일고등학교,전라북도 전주시 완산구 서원로 53,35.81390641,127.0992322
김제고등학교,전라북도 김제시 남북2길 25,35.79107768,126.8970893
김제서고등학교,전라북도 김제시 죽산면 해학로 17,35.77104473,126.8148593
전주상업정보고등학교,전라북도 전주시 완산구 따박골2길 21,35.81067635,127.124988
전북제일고등학교,전라북도 익산시 학곤로 19,35.93424298,126.9418576
전북체육고등학교,전라북도 완주군 소양면 원암로 46,35.8655498,127.2506488
전북여자고등학교,전라북도 전주시 덕진구 여산로 232,35.87301072,127.0840677
상산고등학교,전라북도 전주시 완산구 거마평로 130,35.80508487,127.1197274
한국치즈과학고등학교,전라북도 임실군 강진면 갈담3길 48,35.53327378,127.1647542
고산고등학교,전라북도 완주군 고산면 고산천로 551-23,35.9798988,127.20166
한국게임과학고등학교,전라북도 완주군 운주면 대둔산로 1336,36.08278434,127.2854062
군산동고등학교,전라북도 군산시 달여길 50,35.97056499,126.767976
부안고등학교,전라북도 부안군 부안읍 문정로 32,35.71604257,126.7289178
강호항공고등학교,전라북도 고창군 고창읍 중거리당산로 78-22,35.42510185,126.6999786
여산고등학교,전라북도 익산시 여산면 가람로 465,36.06692491,127.0828426
해리고등학교,전라북도 고창군 해리면 해리중앙로 146,35.46582411,126.5381075
전주여자고등학교,전라북도 전주시 덕진구 모래내6길 14,35.83662729,127.145885
서림고등학교,전라북도 부안군 부안읍 용암로 70-5,35.72113791,126.7428757
김제자영고등학교농업계공동실습소,전라북도 김제시 백산면 상동로 109,35.8346141,126.9214294
전주제일고등학교,전라북도 전주시 완산구 관선5길 15,35.82095883,127.1580639
동암고등학교,전라북도 전주시 완산구 소태정4길 1,35.80652136,127.1012295
전주한일고등학교,전라북도 전주시 완산구 백제대로 442,35.83124557,127.1236324
정주고등학교,전라북도 정읍시 정주1길 42,35.54287125,126.8902183
전북대학교사범대학부설고등학교,전라북도 전주시 덕진구 백제대로 567,35.8411407,127.13159
태인고등학교,전라북도 정읍시 태인면 석지로 1469,35.65264756,126.9389432
전라고등학교,전라북도 전주시 덕진구 솔내7길 25,35.8607435,127.1251438
순창제일고등학교,전라북도 순창군 순창읍 담순로 1411,35.37893092,127.1514256
신태인고등학교,전라북도 정읍시 신태인읍 서태길 108,35.69198096,126.8937261
