,시설명,소재지,관할지역,위도,경도
0,부산동부아동보호전문기관,부산광역시 해운대구 좌동 순환로506,"수영구, 해운대구, 금정구, 기장군, 남구",35.1661708877848,129.168730828663
1,부산서부아동보호전문기관,부산광역시 북구 금곡대로268," 북구, 강서구, 사상구 ",35.2314080166544,129.015133073984
2,부산남부아동보호전문기관,부산광역시 동구 자성로141번길11,"중구, 서구, 동구, 영도구, 사하구, 동래구, 연제구, 부산진구",35.1381089015114,129.065592161446
