주소,위도,경도,
전라북도 전주시 덕진구 전미로 37-8,35.8729561,127.1130595,
전라북도 전주시 덕진구 붓내3길 29-0,35.86931383,127.1244985,
전라북도 전주시 덕진구 세병로 138-0,35.87633602,127.1363702,
전라북도 전주시 덕진구 세병로 141-0,35.87642715,127.1354794,
전라북도 전주시 덕진구 천마산로 115-0,35.86515489,127.1353493,
전라북도 전주시 덕진구 세병로 178-4,35.87902725,127.1332324,
전라북도 전주시 덕진구 붓내2길 16-1,35.8649819,127.1235059,
전라북도 전주시 덕진구 호성로 170-0,35.86629341,127.1456216,
전라북도 전주시 덕진구 쪽구름로 120-0,35.87416504,127.0721458,
전라북도 전주시 덕진구 용신길 1-0,35.87431119,127.061329,
전라북도 전주시 덕진구 쪽구름로 109-0,35.87375783,127.0733716,
전라북도 전주시 덕진구 쪽구름로 111-0,35.87321417,127.0728242,
전라북도 전주시 덕진구 전미중앙로 117-0,35.88300055,127.1092662,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
