주소,위도,경도
전라북도 전주시 완산구 농소2길 15-3,35.8142832,127.098414
전라북도 전주시 완산구 서곡5길 16-0,35.83767538,127.1013554
전라북도 전주시 완산구 전룡로 73-0,35.82807424,127.1206215
전라북도 전주시 완산구 서신로 109-0,35.83510554,127.1156255
전라북도 전주시 완산구 새터로 74-0,35.83521408,127.1142806
전라북도 전주시 완산구 고사평8길 18-0,35.83661886,127.1119865
전라북도 전주시 완산구 감나무4길 7-0,35.8314881,127.1219812
전라북도 전주시 완산구 당산로 17-0,35.83269481,127.1097105
전라북도 전주시 완산구 새터로 122-5,35.83516034,127.1202102
전라북도 전주시 완산구 온고을로 1-0,35.8333102,127.1221283
전라북도 전주시 완산구 전룡로 121-0,35.82918196,127.125909
전라북도 전주시 완산구 고사평3길 15-0,35.83631613,127.1082529
